Name,Price,Amount,Store
Хлеб пшеничный,40,50,Веселый Лук
Молоко 3.2%,65,100,Смешной Огурец
Сыр "Голландский",300,20,Хихикающая Капуста
Яблоки "Голден",120,80,Улыбка Помидора
Колбаса "Докторская",450,30,Грустный Баклажан
Макароны "Спагетти",70,150,Веселый Лук
Куриное филе,350,60,Смешной Огурец
Минеральная вода "Боржоми",90,200,Хихикающая Капуста
Томатная паста,55,40,Улыбка Помидора
Чай черный "Lipton",150,75,Грустный Баклажан
Кофе молотый "Jacobs",400,50,Веселый Лук
Масло подсолнечное,110,120,Смешной Огурец
Шоколад "Alpen Gold",80,100,Хихикающая Капуста
Сметана 15%,60,90,Улыбка Помидора
Огурцы свежие,70,130,Грустный Баклажан
Картофель,25,300,Веселый Лук
Лук репчатый,35,250,Смешной Огурец
Морковь,30,180,Хихикающая Капуста
Капуста белокочанная,40,220,Улыбка Помидора
Яйца куриные,55,140,Грустный Баклажан
Сок апельсиновый "Добрый",100,110,Веселый Лук
Вино красное сухое,500,40,Смешной Огурец
Печенье "Юбилейное",90,60,Хихикающая Капуста
Крупа гречневая,80,160,Улыбка Помидора
Овсяные хлопья,70,150,Грустный Баклажан
Творог 9%,150,90,Веселый Лук
Бананы,70,100,Смешной Огурец
Персики консервированные,120,50,Хихикающая Капуста
Рыба свежемороженая,300,45,Улыбка Помидора
Кетчуп "Heinz",110,80,Грустный Баклажан
